Sl.No.,GLIMS_ID,Glacier_ID,Longitude,Latitude,Area_sqKM,Elev_Max(m),Elev_Min(m),Elev_Mean(m),Slope_Max(degree),Slope_Mean(degree),Slope_Min(degree),Aspect(degree),Basin
221,G090300E27952N,MMagr16_419,90.3,27.952,0.641,5670,5336,5526,57,14,0,212,Mangde Chhu
222,G090318E27966N,MMagr16_425,90.318,27.966,1.345,5795,5335,5496,71,14,0,73,Mangde Chhu
223,G090309E27979N,MMagr16_426,90.309,27.979,2.583,5842,5280,5559,74,15,0,170,Mangde Chhu
224,G090316E27996N,MMagr16_427,90.316,27.996,0.437,5661,5408,5505,51,16,0,80,Mangde Chhu
225,G090332E28018N,MMagr16_429,90.332,28.018,0.982,5834,5433,5606,66,15,0,219,Mangde Chhu
226,G090338E28017N,MMagr16_430,90.338,28.017,0.217,5803,5520,5660,66,26,1,166,Mangde Chhu
227,G090336E28009N,MMagr16_428,90.336,28.009,0.038,5702,5499,5574,67,36,5,250,Mangde Chhu
228,G090343E28021N,MMagr16_431,90.343,28.021,0.175,5564,5427,5509,61,14,0,132,Mangde Chhu
229,G090345E28029N,MMagr16_432,90.345,28.029,1.632,5829,5390,5615,62,15,0,95,Mangde Chhu
230,G090343E28041N,MMagr16_433,90.343,28.041,2.334,5843,5312,5581,81,14,0,99,Mangde Chhu
231,G090347E28049N,MMagr16_434,90.347,28.049,0.048,5562,5410,5489,41,25,3,54,Mangde Chhu
232,G090390E28047N,MMagr16_438,90.39,28.047,2.756,6045,5343,5615,72,14,0,174,Mangde Chhu
233,G090382E28041N,MMagr16_437,90.382,28.041,0.68,5859,5409,5603,69,19,0,169,Mangde Chhu
234,G090377E28033N,MMagr16_436,90.377,28.033,0.216,5857,5472,5645,61,26,1,147,Mangde Chhu
235,G090388E28017N,MMagr16_440,90.388,28.017,2.733,5742,5270,5464,70,19,0,277,Mangde Chhu
236,G090373E27998N,MMagr16_445,90.373,27.998,0.267,5858,5279,5563,61,27,1,228,Mangde Chhu
237,G090387E27997N,MMagr16_444,90.387,27.997,1.117,5651,5320,5493,64,18,0,222,Mangde Chhu
238,G090392E27981N,MMagr16_448,90.392,27.981,1.033,5668,5288,5462,65,16,0,263,Mangde Chhu
239,G090383E27972N,MMagr16_450,90.383,27.972,0.045,5493,5367,5432,56,28,2,198,Mangde Chhu
240,G090377E27962N,MMagr16_452,90.377,27.962,0.271,5677,5319,5482,62,24,1,277,Mangde Chhu
241,G090375E27959N,MMagr16_456,90.375,27.959,0.032,5506,5379,5427,64,27,3,284,Mangde Chhu
242,G090381E27954N,MMagr16_459,90.381,27.954,0.234,5882,5378,5634,62,30,0,204,Mangde Chhu
243,G090372E27956N,MMagr16_457,90.372,27.956,0.038,5481,5349,5393,71,31,3,198,Mangde Chhu
244,G090384E27956N,MMagr16_460,90.384,27.956,0.108,5883,5670,5780,65,23,0,212,Mangde Chhu
245,G090385E27948N,MMagr16_461,90.385,27.948,0.332,5721,5312,5461,69,28,0,251,Mangde Chhu
246,G090382E27939N,MMagr16_468,90.382,27.939,0.242,5595,5232,5396,73,31,1,245,Mangde Chhu
247,G090383E27934N,MMagr16_470,90.383,27.934,0.162,5557,5289,5389,65,24,1,182,Mangde Chhu
248,G090389E27931N,MMagr16_471,90.389,27.931,0.029,5475,5383,5428,61,31,5,264,Mangde Chhu
249,G090402E27906N,MMagr16_476,90.402,27.906,0.034,5333,5201,5265,55,30,7,278,Mangde Chhu
250,G090390E27918N,MMagr16_475,90.39,27.918,0.084,5394,5216,5317,54,20,1,256,Mangde Chhu
251,G090393E27924N,MMagr16_473,90.393,27.924,0.105,5656,5454,5554,70,30,3,172,Mangde Chhu
252,G090399E27922N,MMagr16_474,90.399,27.922,0.817,5492,5155,5299,75,21,0,165,Mangde Chhu
253,G090395E27931N,MMagr16_472,90.395,27.931,0.579,5529,5162,5375,69,24,0,141,Mangde Chhu
254,G090390E27937N,MMagr16_469,90.39,27.937,0.333,5525,5274,5418,65,22,1,111,Mangde Chhu
255,G090394E27950N,MMagr16_462,90.394,27.95,0.907,5650,5269,5429,67,19,0,167,Mangde Chhu
256,G090403E27953N,MMagr16_463,90.403,27.953,0.389,5623,5313,5432,67,21,0,164,Mangde Chhu
257,G090377E27955N,MMagr16_458,90.377,27.955,0.253,5802,5310,5508,68,28,1,218,Mangde Chhu
258,G090413E27955N,MMagr16_465,90.413,27.955,0.025,5528,5391,5461,65,38,8,98,Mangde Chhu
259,G090414E27948N,MMagr16_467,90.414,27.948,0.206,5506,5307,5398,67,19,0,175,Mangde Chhu
260,G090397E27962N,MMagr16_453,90.397,27.962,3.449,5745,5233,5439,68,14,0,130,Mangde Chhu
261,G090418E27953N,MMagr16_466,90.418,27.953,0.553,5532,5235,5350,82,19,0,116,Mangde Chhu
262,G090428E27967N,MMagr16_455,90.428,27.967,0.2,5380,5231,5297,60,17,0,170,Mangde Chhu
263,G090403E27981N,MMagr16_449,90.403,27.981,0.469,5553,5301,5406,62,15,0,133,Mangde Chhu
264,G090397E27990N,MMagr16_447,90.397,27.99,0.552,5604,5265,5398,61,14,1,94,Mangde Chhu
265,G090396E28004N,MMagr16_443,90.396,28.004,1.598,5751,5323,5476,66,14,0,167,Mangde Chhu
266,G090407E28004N,MMagr16_442,90.407,28.004,0.051,5555,5349,5434,63,28,3,73,Mangde Chhu
267,G090400E28011N,MMagr16_441,90.4,28.011,0.379,5714,5331,5512,58,23,0,89,Mangde Chhu
268,G090439E28028N,MMagr16_483,90.439,28.028,0.167,5771,5490,5605,68,23,1,209,Mangde Chhu
269,G090491E28015N,MMagr16_487,90.491,28.015,0.323,5685,5255,5438,67,28,1,199,Mangde Chhu
270,G090517E27932N,MMagr16_488,90.517,27.932,0.661,5525,5091,5312,60,21,1,282,Mangde Chhu
271,G090502E27912N,MMagr16_489,90.502,27.912,0.094,5303,5153,5233,61,20,1,281,Mangde Chhu
272,G090507E27911N,MMagr16_490,90.507,27.911,0.082,5406,5240,5321,49,24,1,228,Mangde Chhu
273,G090369E27994N,MMagr16_446,90.369,27.994,0.031,5595,5478,5552,55,31,4,94,Mangde Chhu
274,G090421E27966N,MMagr16_454,90.421,27.966,0.113,5471,5360,5415,65,25,0,142,Mangde Chhu
275,G090410E27901N,MMagr16_478,90.41,27.901,0.221,5360,5256,5297,58,12,0,143,Mangde Chhu
276,G090409E27904N,MMagr16_477,90.409,27.904,0.367,5359,5155,5256,67,17,0,112,Mangde Chhu
277,G090283E27908N,MMagr16_409,90.283,27.908,0.034,5447,5285,5374,62,38,9,261,Mangde Chhu
278,G090409E27950N,MMagr16_464,90.409,27.95,0.311,5512,5251,5380,66,20,0,212,Mangde Chhu
279,G090271E27836N,MMagr16_392,90.271,27.836,0.128,5348,5036,5238,63,21,2,144,Mangde Chhu
280,G090269E27832N,MMagr16_391,90.269,27.832,0.231,5413,5168,5276,50,18,2,184,Mangde Chhu
281,G090261E27833N,MMagr16_389,90.261,27.833,0.203,5341,5078,5239,57,19,1,233,Mangde Chhu
282,G090266E27830N,MMagr16_390,90.266,27.830,0.117,5337,5126,5243,50,18,0,172,Mangde Chhu
283,G090266E27843N,MMagr16_393,90.266,27.843,0.044,5302,5203,5257,40,21,2,48,Mangde Chhu
284,G090284E27905N,MMagr16_408,90.284,27.905,0.03,5448,5354,5404,50,23,1,185,Mangde Chhu
285,G090311E27884N,MMagr16_404,90.311,27.884,1.855,5490,5114,5316,50,13,0,254,Mangde Chhu
286,G090317E27819N,MMagr16_394,90.317,27.819,0.133,5312,5119,5202,68,21,1,255,Mangde Chhu
287,G090321E27825N,MMagr16_395,90.321,27.825,0.035,5259,5161,5204,57,23,3,60,Mangde Chhu
288,G090322E27868N,MMagr16_400,90.322,27.868,0.353,5463,5252,5365,51,16,0,202,Mangde Chhu
289,G090334E27861N,MMagr16_399,90.334,27.861,0.384,5393,5103,5274,78,15,0,120,Mangde Chhu
290,G090334E27857N,MMagr16_398,90.334,27.857,0.27,5338,5190,5249,78,12,0,196,Mangde Chhu
291,G090326E27858N,MMagr16_397,90.326,27.858,0.691,5398,5140,5262,74,12,0,248,Mangde Chhu
292,G090329E27872N,MMagr16_401,90.329,27.872,0.993,5453,5137,5271,72,14,0,115,Mangde Chhu
293,G090324E27881N,MMagr16_403,90.324,27.881,0.07,5387,5233,5316,61,25,0,100,Mangde Chhu
294,G090417E27893N,MMagr16_479,90.417,27.893,0.24,5300,5125,5187,69,15,0,153,Mangde Chhu
295,G090493E27894N,MMagr16_494,90.493,27.894,0.074,5333,5181,5250,65,22,2,246,Mangde Chhu
296,G090502E27895N,MMagr16_493,90.502,27.895,0.187,5345,5149,5225,48,17,1,168,Mangde Chhu
297,G090505E27901N,MMagr16_491,90.505,27.901,0.084,5251,5143,5191,46,21,2,300,Mangde Chhu
298,G090509E27900N,MMagr16_492,90.509,27.9,0.166,5305,5179,5256,50,15,1,127,Mangde Chhu
299,G090560E27903N,MMagr16_497,90.56,27.903,0.408,5417,5134,5268,59,18,1,191,Mangde Chhu
300,G090548E27898N,MMagr16_496,90.548,27.898,0.068,5161,5087,5126,22,12,1,148,Mangde Chhu
301,G090573E27826N,MMagr16_499,90.573,27.826,0.06,5239,5045,5144,64,26,1,272,Mangde Chhu
302,G090574E27832N,MMagr16_498,90.574,27.832,0.211,5337,5052,5238,58,22,1,236,Mangde Chhu
303,G090545E27901N,MMagr16_495,90.545,27.901,0.104,5321,5168,5246,65,20,1,124,Mangde Chhu
304,G090318E27875N,MMagr16_402,90.318,27.875,0.412,5522,5115,5365,65,21,0,225,Mangde Chhu
305,G090320E27884N,MMagr16_405,90.32,27.884,0.101,5427,5209,5292,45,21,4,72,Mangde Chhu
306,G090371E28054N,MMagr16_435,90.371,28.054,3.930,6061, 5239,5680,69,17,0,218,Mangde Chhu
307,G090443E28024N,MMagr16_482,90.443,28.024,45.85,7361, 4630,5485,80,20,0,177,Mangde Chhu
308,G090456E28046N,MMagr16_485,90.456,28.046,0.174,6686, 6382,6519,61,29,2,93,Mangde Chhu
309,G090469E28048N,MMagr16_486,90.469,28.048,0.045,6488, 6290,6390,60,39,11,177,Mangde Chhu
310,G090454E28020N,MMagr16_484,90.454,28.02,0.054,5948, 5588,5780,60,37,6,186,Mangde Chhu
311,G090434E27873N,MMagr16_481,90.434,27.873,0.171,5204, 4940,5076,63,23,1,84,Mangde Chhu
312,G090429E27877N,MMagr16_480,90.429,27.877,0.02,5248, 5140,5195,52,30,8,186,Mangde Chhu
313,G090402E28030N,MMagr16_439,90.402,28.03,0.21,5739, 5427,5551,66,24,2,70,Mangde Chhu
314,G090321E27851N,MMagr16_396,90.321,27.851,0.047,5271, 5126,5180,65,31,3,303,Mangde Chhu
315,G090379E27968N,MMagr16_451,90.379,27.968,0.05,5485, 5329,5406,70,39,3,203,Mangde Chhu
316,G089398E27897N,PMogr16_65,89.398,27.897,1.731,5779, 4990,5348,64,22,0,106,Mo Chhu
317,G089358E27853N,PMogr16_57,89.358,27.853,4.055,6384, 4205,5029,81,28,0,118,Mo Chhu
318,G089359E27866N,PMogr16_59,89.359,27.866,0.6,5671, 5198,5428,75,25,1,179,Mo Chhu
319,G089385E27882N,PMogr16_63,89.385,27.882,1.22,6032, 4783,5343,70,29,0,100,Mo Chhu
320,G089483E27773N,PMogr16_55,89.483,27.773,0.156,5316, 5137,5224,42,22,0,305,Mo Chhu
321,G089535E27764N,PMogr16_53,89.535,27.764,0.057,5241, 5121,5178,41,22,2,307,Mo Chhu
322,G089532E27760N,PMogr16_54,89.532,27.76,0.076,5391, 5134,5231,47,22,1,201,Mo Chhu
323,G089552E27790N,PMogr16_51,89.552,27.79,0.264,5595, 5109,5425,55,25,1,276,Mo Chhu
324,G089554E27794N,PMogr16_50,89.554,27.794,0.182,5539, 5094,5419,63,28,1,268,Mo Chhu
325,G089350E27842N,PMogr16_56,89.35,27.842,1.818,6233, 4907,5521,81,28,0,113,Mo Chhu
326,G089372E27869N,PMogr16_61,89.372,27.869,0.233,6509, 5721,6100,65,43,3,166,Mo Chhu
327,G089381E27871N,PMogr16_62,89.381,27.871,1.272,6491, 4474,5482,71,41,2,97,Mo Chhu
328,G089550E27788N,PMogr16_52,89.55,27.788,0.19,5566, 5011,5318,64,31,1,277,Mo Chhu
329,G089559E27791N,PMogr16_49,89.559,27.791,0.212,5541,5312,5447,70,29,0,102,Mo Chhu
330,G089568E28109N,PMogr16_102,89.568,28.109,3.339,6140,4075,5131,75,28,0,111,Mo Chhu
331,G089578E28026N,PMogr16_84,89.578,28.026,0.108,5370,5151,5261,55,21,1,277,Mo Chhu
332,G089616E28027N,PMogr16_92,89.616,28.027,0.035,5402,5261,5324,54,27,1,104,Mo Chhu
333,G089612E28154N,PMogr16_106,89.612,28.154,4.36,5871,4304,5066,76,26,0,160,Mo Chhu
334,G089463E28008N,PMogr16_66,89.463,28.008,0.724,5791,5017,5391,65,25,1,213,Mo Chhu
335,G089475E28016N,PMogr16_67,89.475,28.016,0.512,5750,5197,5443,62,23,1,146,Mo Chhu
336,G089469E28029N,PMogr16_70,89.469,28.029,0.135,5482,5052,5341,57,30,1,56,Mo Chhu
337,G089512E28084N,PMogr16_76,89.512,28.084,0.571,5831,5166,5414,59,24,1,175,Mo Chhu
338,G089513E28092N,PMogr16_78,89.513,28.092,0.119,6357,5636,6072,68,51,35,184,Mo Chhu
339,G089525E28077N,PMogr16_79,89.525,28.077,0.821,5752,4757,5147,64,23,0,190,Mo Chhu
340,G089534E28057N,PMogr16_80,89.534,28.057,0.373,5304,5136,5220,56,19,1,266,Mo Chhu
341,G089535E28074N,PMogr16_93,89.535,28.074,0.04,5551,5325,5433,68,35,4,153,Mo Chhu
342,G089539E28076N,PMogr16_95,89.539,28.076,0.089,5539,5285,5400,59,30,9,142,Mo Chhu
343,G089545E28079N,PMogr16_96,89.545,28.079,0.163,5563,5178,5371,67,34,15,167,Mo Chhu
344,G089550E28079N,PMogr16_97,89.55,28.079,0.053,5501,5251,5393,68,35,1,196,Mo Chhu
345,G089555E28075N,PMogr16_99,89.555,28.075,0.035,5560,5354,5476,60,37,2,193,Mo Chhu
346,G089552E28077N,PMogr16_98,89.552,28.077,0.053,5542,5281,5438,67,41,2,196,Mo Chhu
347,G089559E28074N,PMogr16_100,89.559,28.074,0.111,5274,5142,5223,60,21,0,113,Mo Chhu
348,G089580E28122N,PMogr16_103,89.58,28.122,0.719,6049,4831,5396,74,42,1,114,Mo Chhu
349,G089591E28135N,PMogr16_104,89.591,28.135,2.862,6017,4213,5125,74,33,0,126,Mo Chhu
350,G089638E28170N,PMogr16_108,89.638,28.17,0.364,5300,5029,5177,57,17,2,171,Mo Chhu
351,G089671E28165N,PMogr16_110,89.671,28.165,0.319,5460,4948,5202,64,28,2,263,Mo Chhu
352,G089602E28012N,PMogr16_88,89.602,28.012,0.079,5360,5161,5269,60,24,1,124,Mo Chhu
353,G089607E28017N,PMogr16_89,89.607,28.017,0.361,5409,5137,5232,60,15,0,110,Mo Chhu
354,G089540E28051N,PMogr16_82,89.54,28.051,0.269,5273,5047,5149,59,18,2,56,Mo Chhu
355,G089538E28059N,PMogr16_81,89.538,28.059,0.044,5346,5232,5286,52,22,0,104,Mo Chhu
356,G089631E28165N,PMogr16_107,89.631,28.165,0.397,5594,4953,5304,71,31,2,92,Mo Chhu
357,G089585E28023N,PMogr16_85,89.585,28.023,0.03,5318,5172,5254,52,29,2,148,Mo Chhu
358,G089585E28015N,PMogr16_86,89.585,28.015,0.108,5387,5125,5243,55,26,1,263,Mo Chhu
359,G089676E28172N,PMogr16_111,89.676,28.172,0.448,5247,4971,5122,70,18,1,80,Mo Chhu
360,G089479E28020N,PMogr16_69,89.479,28.02,0.24,5359,5067,5205,60,24,1,69,Mo Chhu
361,G089467E28039N,WMogr16_71,89.467,28.039,0.069,5644,5471,5555,62,25,1,136,Mo Chhu
362,G089480E28048N,PMogr16_72,89.48,28.048,0.221,5382,5162,5232,57,15,1,74,Mo Chhu
363,G089486E28059N,PMogr16_73,89.486,28.059,0.268,5769,5168,5480,58,31,1,160,Mo Chhu
364,G089487E28062N,PMogr16_74,89.487,28.062,0.035,5723,5400,5570,62,40,6,94,Mo Chhu
365,G089491E28062N,PMogr16_75,89.491,28.062,0.05,5361,5224,5269,58,24,1,84,Mo Chhu
366,G089492E28067N,PMogr16_77,89.492,28.067,0.022,5520,5390,5462,53,28,9,111,Mo Chhu
367,G089578E28030N,PMogr16_83,89.578,28.03,0.055,5296,5157,5224,57,25,3,278,Mo Chhu
368,G089603E28022N,PMogr16_91,89.603,28.022,1.203,5448,4987,5213,64,19,0,266,Mo Chhu
369,G089597E28014N,PMogr16_87,89.597,28.014,0.111,5426,5137,5295,56,24,4,290,Mo Chhu
370,G089556E28089N,PMogr16_101,89.556,28.089,3.812,6470,4316,5229,79,32,0,123,Mo Chhu
371,G089536E28087N,PMogr16_94,89.536,28.087,0.14,6520,6311,6427,65,26,0,130,Mo Chhu
372,G089646E28171N,PMogr16_109,89.646,28.171,0.178,5382,5261,5314,47,17,0,92,Mo Chhu
373,G089613E28021N,PMogr16_90,89.613,28.021,0.087,5337,5158,5253,53,23,1,129,Mo Chhu
374,G089751E28170N,PMogr16_113,89.751,28.17,7.905,6678,4419,5306,77,32,0,256,Mo Chhu
375,G089713E28171N,PMogr16_112,89.713,28.171,0.71,5661,4697,5194,73,35,2,284,Mo Chhu
376,G089750E28145N,PMogr16_114,89.75,28.145,0.982,5961,5108,5412,64,29,1,233,Mo Chhu
377,G089762E28152N,PMogr16_116,89.762,28.152,1.437,5995,4957,5604,68,28,0,131,Mo Chhu
378,G089774E28162N,PMogr16_118,89.774,28.162,0.333,6448,5248,5601,69,39,2,157,Mo Chhu
379,G089781E28167N,PMogr16_120,89.781,28.167,0.658,5888,5070,5468,73,31,1,136,Mo Chhu
380,G089782E28179N,PMogr16_121,89.782,28.179,3.361,6479,4817,5485,75,29,0,103,Mo Chhu
381,G089801E28192N,PMogr16_124,89.801,28.192,0.177,5579,5235,5363,64,27,3,107,Mo Chhu
382,G089795E28194N,PMogr16_123,89.795,28.194,0.184,5460,5248,5354,73,24,1,86,Mo Chhu
383,G089780E28195N,PMogr16_122,89.78,28.195,3.162,6155,4898,5473,68,23,0,129,Mo Chhu
384,G089796E28244N,PMogr16_125,89.796,28.244,0.347,6286,5661,6014,65,39,2,191,Mo Chhu
385,G089827E28229N,PMogr16_126,89.827,28.229,2.391,6019,5126,5613,73,20,0,231,Mo Chhu
386,G089821E28216N,PMogr16_127,89.821,28.216,0.024,5604,5522,5572,61,29,1,123,Mo Chhu
387,G089826E28213N,PMogr16_139,89.826,28.213,0.229,5477,5259,5338,58,16,1,83,Mo Chhu
388,G089836E28223N,PMogr16_131,89.836,28.223,0.194,5913,5496,5736,70,31,1,185,Mo Chhu
389,G089764E28145N,PMogr16_115,89.764,28.145,0.071,5456,5219,5339,69,36,5,120,Mo Chhu
390,G089768E28157N,PMogr16_117,89.768,28.157,0.247,5662,5317,5457,69,29,1,121,Mo Chhu
391,G089846E28225N,PMogr16_132,89.846,28.225,0.051,5722,5547,5630,57,31,4,192,Mo Chhu
392,G089829E28221N,PMogr16_130,89.829,28.221,0.101,5759,5612,5690,70,27,0,167,Mo Chhu
393,G089768E28170N,PMogr16_119,89.768,28.17,0.294,6706,6295,6538,69,34,1,163,Mo Chhu
394,G089823E28216N,PMogr16_128,89.823,28.216,0.025,5528,5435,5479,51,31,7,93,Mo Chhu
395,G089868E28038N,PMogr16_166,89.868,28.038,0.839,5550,4767,5031,66,21,0,242,Mo Chhu
396,G089863E28022N,PMogr16_167,89.863,28.022,0.154,5459,5198,5358,58,21,1,230,Mo Chhu
397,G089869E28025N,PMogr16_168,89.869,28.025,0.293,5615,5193,5382,52,19,0,190,Mo Chhu
398,G089876E28026N,PMogr16_169,89.876,28.026,0.577,5881,5137,5521,64,27,0,202,Mo Chhu
399,G089899E28004N,PMogr16_172,89.899,28.004,0.769,5658,5113,5366,64,18,0,240,Mo Chhu
400,G089889E28019N,PMogr16_170,89.889,28.019,1.382,5594,5213,5369,59,16,0,209,Mo Chhu
401,G089909E27993N,PMogr16_173,89.909,27.993,2.866,5592,5216,5414,67,14,0,238,Mo Chhu
402,G089905E27974N,PMogr16_174,89.905,27.974,0.839,5611,5137,5355,62,23,0,249,Mo Chhu
403,G089907E27959N,PMogr16_177,89.907,27.959,2.148,5523,5061,5228,65,18,0,234,Mo Chhu
404,G089895E27950N,PMogr16_178,89.895,27.95,0.033,5257,5151,5201,47,30,12,308,Mo Chhu
405,G089895E27949N,PMogr16_179,89.895,27.949,0.109,5384,5158,5259,50,23,1,231,Mo Chhu
406,G089896E27944N,PMogr16_180,89.896,27.944,0.027,5179,5093,5136,47,23,1,261,Mo Chhu
407,G089910E27971N,PMogr16_176,89.91,27.971,0.048,5575,5402,5478,59,30,1,180,Mo Chhu
408,G089896E28010N,PMogr16_171,89.896,28.01,0.465,5645,5219,5408,60,23,1,234,Mo Chhu
409,G089883E28202N,PMogr16_133,89.883,28.202,0.525,5851,5349,5589,70,25,1,256,Mo Chhu
410,G089888E28191N,PMogr16_135,89.888,28.191,0.426,6206,5380,5680,71,36,2,260,Mo Chhu
411,G089885E28177N,PMogr16_137,89.885,28.177,1.596,6288,5246,5630,79,25,0,271,Mo Chhu
412,G089881E28157N,PMogr16_139,89.881,28.157,0.894,5745,5210,5535,70,22,0,254,Mo Chhu
413,G089851E28142N,PMogr16_142,89.851,28.142,0.877,5772,5200,5471,74,24,1,195,Mo Chhu
414,G089831E28131N,PMogr16_144,89.831,28.131,2.703,6201,4730,5283,75,26,0,189,Mo Chhu
415,G089813E28124N,PMogr16_146,89.813,28.124,0.459,5253,4833,4996,65,20,0,274,Mo Chhu
416,G089821E28116N,PMogr16_147,89.821,28.116,0.26,6260,5542,5803,74,48,2,264,Mo Chhu
417,G089815E28098N,PMogr16_150,89.815,28.098,1.586,5961,5119,5465,77,26,0,257,Mo Chhu
418,G089814E28088N,PMogr16_154,89.814,28.088,0.237,5803,5057,5536,68,34,1,215,Mo Chhu
419,G089824E28086N,PMogr16_155,89.824,28.086,0.143,5428,5114,5301,64,28,3,212,Mo Chhu
420,G089826E28075N,PMogr16_157,89.826,28.075,0.181,5353,5165,5264,57,24,0,228,Mo Chhu
421,G089826E28097N,PMogr16_151,89.826,28.097,0.122,5729,5386,5553,63,34,1,125,Mo Chhu
422,G089841E28100N,PMogr16_158,89.841,28.1,10.076,6422,4623,5435,76,17,0,183,Mo Chhu
423,G089855E28074N,PMogr16_160,89.855,28.074,0.046,5381,5221,5302,56,35,0,261,Mo Chhu
424,G089857E28072N,PMogr16_161,89.857,28.072,0.282,5499,5023,5282,68,28,1,255,Mo Chhu
425,G089856E28066N,PMogr16_162,89.856,28.066,0.242,5549,4968,5314,75,35,1,266,Mo Chhu
426,G089858E28056N,PMogr16_164,89.858,28.056,0.525,5641,4972,5224,64,22,1,244,Mo Chhu
427,G089844E28047N,PMogr16_165,89.844,28.047,0.183,5308,5029,5109,61,24,1,281,Mo Chhu
428,G089857E28085N,PMogr16_159,89.857,28.085,1.566,5974,4974,5318,79,23,0,213,Mo Chhu
429,G089883E28166N,PMogr16_138,89.883,28.166,1.415,5936,5295,5546,70,21,0,254,Mo Chhu
430,G089879E28149N,PMogr16_140,89.879,28.149,0.512,5751,5301,5516,60,24,0,263,Mo Chhu
431,G089845E28132N,PMogr16_143,89.845,28.132,1.367,6060,5111,5427,78,26,0,191,Mo Chhu
432,G089814E28108N,PMogr16_149,89.814,28.108,0.768,6242,5252,5537,78,24,0,236,Mo Chhu
433,G089827E28081N,PMogr16_156,89.827,28.081,0.094,5387,5169,5324,62,29,1,200,Mo Chhu
434,G089823E28129N,PMogr16_145,89.823,28.129,0.349,5667,5045,5326,69,24,0,196,Mo Chhu
435,G089802E28110N,PMogr16_148,89.802,28.11,0.136,5423,4971,5116,72,32,1,167,Mo Chhu
436,G089853E28063N,PMogr16_163,89.853,28.063,0.067,5267,5114,5185,55,28,3,246,Mo Chhu
437,G089351E27862N,PMogr16_58,89.351,27.862,0.067,5505,5338,5412,67,35,2,159,Mo Chhu
438,G089367E27870N,PMogr16_60,89.367,27.87,0.086,6506,5920,6211,67,49,13,225,Mo Chhu
439,G089405E27891N,PMogr16_64,89.405,27.891,0.219,5388,5047,5199,63,29,4,97,Mo Chhu
440,G089482E28016N,PMogr16_68,89.482,28.016,0.1,5326,5099,5228,61,24,0,84,Mo Chhu
441,G089601E28146N,PMogr16_105,89.601,28.146,0.391,5767,4896,5273,68,33,1,130,Mo Chhu
442,G089868E28134N,PMogr16_141,89.868,28.134,8.811,6349,4584,5478,76,18,0,189,Mo Chhu
443,G089887E28185N,PMogr16_136,89.887,28.185,0.872,6364,5134,5588,76,31,1,271,Mo Chhu
444,G089882E28198N,PMogr16_134,89.882,28.198,0.396,5873,5275,5568,72,32,0,258,Mo Chhu
445,G089594E27742N,PMogr16_48,89.594,27.742,0.19,5360,5096,5193,62,24,1,122,Mo Chhu
446,G089839E27900N,PMogr16_182,89.839,27.9,0.022,5020,4980,5006,38,17,1,236,Mo Chhu
447,G089873E27948N,PMogr16_181,89.873,27.948,0.045,5257,5110,5175,51,27,5,259,Mo Chhu
448,G089890E27969N,PMogr16_175,89.89,27.969,0.056,5228,5124,5180,43,26,6,299,Mo Chhu
